article_id;title;doi;year;authors;journal;keywords;study_country;latitude;longitude;study_continent;study_subregion;country_list;is_multi_country;continent_list;is_multi_continent;researcher_country;researcher_continent;researcher_subregion;topic_id;megatopic_id;research_flow;income_group;hdi;gender_inequality_index
18;Attitudes towards domestic violence in 49 low- and middle-income countries: A gendered analysis of prevalence and country-level correlates;10.1371/journal.pone.0206101;2018;"LynnMarie Sardinha, H#_#x00E9;ctor E. N#_#x00E1;jera Catal#_#x00E1;n";PLOS ONE;"INTIMATE PARTNER VIOLENCE;SEXUAL VIOLENCE;WOMEN;DETERMINANTS;HEALTH;Prevalence;Attitude";"DOM; HND; HTI; UKR; ARM; ALB; KGZ; AZE; MWI; BEN; MOZ; GHA; TGO; NAM; COM; KEN; NGA; MDG; LBR; LSO; ZWE; BFA; ZMB; RWA; SEN; CMR; NER; GAB; GMB; SLE; TZA; UGA; ETH; BDI; MLI; GIN; MDV; IDN; PAK; KHM; IND; AFG";60.45047;22.2784844;América / Europa / Ásia / África;Caribe / América Central / Europa Oriental / Ásia Ocidental / Ásia Central / África Meridional / África Ocidental / África Oriental / África Central / Ásia Meridional / Sudeste Asiático;['DOM', 'HND', 'HTI', 'UKR', 'ARM', 'ALB', 'KGZ', 'AZE', 'MWI', 'BEN', 'MOZ', 'GHA', 'TGO', 'NAM', 'COM', 'KEN', 'NGA', 'MDG', 'LBR', 'LSO', 'ZWE', 'BFA', 'ZMB', 'RWA', 'SEN', 'CMR', 'NER', 'GAB', 'GMB', 'SLE', 'TZA', 'UGA', 'ETH', 'BDI', 'MLI', 'GIN', 'MDV', 'IDN', 'PAK', 'KHM', 'IND', 'AFG'];1;['América', 'Ásia', 'África', 'Europa'];1;FIN;Europa;Europa Setentrional;21;6;Multi-national;;;
19;Child Marriage and Sexual Autonomy among Women in Sub-Saharan Africa: Evidence from 31 Demographic and Health Surveys;10.3390/ijerph18073754;2021;Eugene Budu, Bright Opoku Ahinkorah, Abdul-Aziz Seidu, John Elvis Hagan Jr., Wonder Agbemavi, James Boadu Frimpong, Collins Adu, Kwamena Sekyi Dickson and Sanni Yaya;Child marriage has a variety of undesirable consequences at the peril of women’s health and autonomy. In this study, we examined the association between child marriage and sexual autonomy among women in sub-Saharan Africa. We utilised data from the most recent Demographic and Health Surveys conducted in 31 countries in sub-Saharan Africa between 2010 and 2019. A total of 218,578 women aged 20–49 were included in this study. Multivariable binary logistic regression models were used to show the association between child marriage and sexual autonomy. Crude odds ratio (cOR) and adjusted odds ratio (aOR) were used in presenting the results. The prevalence of child marriage and sexual autonomy was 44.51% and 83.35%, respectively. Compared to women who married at 18 years or above, those who married at less than 18 were less likely to have sexual autonomy, and this persisted after controlling for important covariates. In terms of the country-specific results, women who experienced child marriage were less likely to have sexual autonomy in Burundi, Congo DR, Nigeria, and Niger. With the covariates, lower odds of sexual autonomy were found among women with no formal education, those whose partners had no formal education, those who were not exposed to media, and non-working women. Child marriage was found to be associated with sexual autonomy. There is a need to strengthen policies and programmes such as compulsory basic education, poverty alleviation, and an increase in access to media that aim at reducing child marriage. These interventions will help to improve sexual autonomy among women, especially in this 21st century where individuals and organisations incessantly advocate for gender equality.;"child marriage; intimate partner violence; public health; sexual autonomy; SSA";"AGO; BFA; BEN; BDI; COG; CMR; ETH; GAB; GHA; GMB; GIN; KEN; COM; LBR; LSO; MLI; MWI; NGA; NER; NAM; RWA; SLE; SEN; TCD; TGO; UGA; ZAF; ZMB; ZWE";5.118337;-1.2885783;África;África Meridional / África Ocidental / África Oriental / África Central;['AGO', 'BFA', 'BEN', 'BDI', 'COG', 'CMR', 'ETH', 'GAB', 'GHA', 'GMB', 'GIN', 'KEN', 'COM', 'LBR', 'LSO', 'MLI', 'MWI', 'NGA', 'NER', 'NAM', 'RWA', 'SLE', 'SEN', 'TCD', 'TGO', 'UGA', 'ZAF', 'ZMB', 'ZWE'];1;['África'];0;GHA;África;África Ocidental;21;6;Multi-national;;;
20;Financial inclusion and intimate partner violence: What does the evidence suggest?;10.1371/journal.pone.0223721;2019;Lotus McDougal, Jeni Klugman, Nabamallika Dehingia, Amruta Trivedi, Anita Raj;PLOS ONE;"WOMENS EMPOWERMENT;ECONOMIC EMPOWERMENT;PREVENTION;REDUCTION;COUNTRIES;IMPACT;RISK;Violence";"ARM; BDI; KHM; ETH; GTM; IND; MLI; MOZ; MMR; NAM; NPL; PAK; PHL; AGO; BFA; TCD; COM; DOM; GHA; HND; KEN; NGA; PER; MDA; TGO; CMR; EGY; GAB; HTI; JOR; KGZ; LBR; MWI; SLE; TJK; UGA";32.7545686;-117.1478549;Ásia / África / América / Europa;Ásia Ocidental / África Oriental / Sudeste Asiático / América Central / Ásia Meridional / África Ocidental / África Meridional / África Central / Caribe / América do Sul / Europa Oriental / África Setentrional / Ásia Central;['ARM', 'BDI', 'KHM', 'ETH', 'GTM', 'IND', 'MLI', 'MOZ', 'MMR', 'NAM', 'NPL', 'PAK', 'PHL', 'AGO', 'BFA', 'TCD', 'COM', 'DOM', 'GHA', 'HND', 'KEN', 'NGA', 'PER', 'MDA', 'TGO', 'CMR', 'EGY', 'GAB', 'HTI', 'JOR', 'KGZ', 'LBR', 'MWI', 'SLE', 'TJK', 'UGA'];1;['América', 'Ásia', 'África', 'Europa'];1;USA;América;América do Norte;21;6;Multi-national;;;
21;Gender-Based Violence Against Adolescent and Young Adult Women in Low- and Middle-Income Countries;10.1016/j.jadohealth.2014.09.003;2014;Michele R. Decker Sc.D.;Journal of Adolescent Health, 56 (2015) 188-196. doi:10.1016/j.jadohealth.2014.09.003;"Adolescent;Intimate partner violence;Sexual assault;Forced sexual debut;INTIMATE PARTNER VIOLENCE;SOUTH-AFRICA;SEXUAL INITIATION;DATING VIOLENCE;HEALTH OUTCOMES;REPRODUCTIVE HEALTH;DOMESTIC VIOLENCE;SPOUSAL VIOLENCE;CHILD MARRIAGE;HIV-INFECTION";"MWI; TZA; UGA; MLI; BGD; NPL; HTI; PER; MWI; TZA; UGA; NPL; HTI";39.2908816;-76.610759;África / Ásia / América;África Meridional / África Oriental / África Ocidental / Ásia Meridional / Caribe / América do Sul;['MWI', 'TZA', 'UGA', 'MLI', 'BGD', 'NPL', 'HTI', 'PER', 'MWI', 'TZA', 'UGA', 'NPL', 'HTI'];1;['América', 'Ásia', 'África'];1;USA;América;América do Norte;2;2;Multi-national;;;
22;High-Risk Contexts for Violence Against Women: Using Latent Class Analysis to Understand Structural and Contextual Drivers of Intimate Partner Violence at the National Level;10.1177/08862605221086642;2022;Brown, LJ and Lowe, H and Gibbs, A and Smith, C and Mannell, J;J Interpers Violence 2023.38:1007-1039;"Intimate partner violence;ecological analysis;latent class analysis;structural drivers;risk factors;colonisation;gender inequality;GENDER-BASED VIOLENCE;DOMESTIC VIOLENCE;PREVALENCE;INTERVENTION;HEALTH;FUTURE;Violence";;51.524203;-0.1330007;;;['-'];0;[];0;GBR;Europa;Europa Ocidental;1;1;Cross-continental;;;
23;Identifying the women most vulnerable to intimate partner violence: A decision tree analysis from 48 low and middle-income countries;10.1016/j.eclinm.2021.101214;2021;Carolina V N Coll;EClinicalMedicine, 42 (2021) 101214. doi:10.1016/j.eclinm.2021.101214;"""Violence against women""; ""Intimate partner violence""; ""Low and middle income countries""; ""Interventions""";"AFG; AGO; ARM; AZE; BGD; BEN; BOL; BFA; BDI; KHM; CMR; TCD; COL; COM; DOM; EGY; ETH; GAB; GMB; GHA; GTM; HTI; HND; IND; KEN; KGZ; LBR; MWI; MLI; MOZ; MMR; NAM; PAK; PNG; PHL; RWA; SEN; SLE; ZAF; TJK; TZA; TGO; ZMB; ZWE";-31.7699736;-52.3410161;Ásia / África / América / Oceania;Ásia Meridional / África Meridional / Ásia Ocidental / África Ocidental / América do Sul / África Oriental / Sudeste Asiático / África Central / Caribe / África Setentrional / América Central / Ásia Central / Melanésia;['AFG', 'AGO', 'ARM', 'AZE', 'BGD', 'BEN', 'BOL', 'BFA', 'BDI', 'KHM', 'CMR', 'TCD', 'COL', 'COM', 'DOM', 'EGY', 'ETH', 'GAB', 'GMB', 'GHA', 'GTM', 'HTI', 'HND', 'IND', 'KEN', 'KGZ', 'LBR', 'MWI', 'MLI', 'MOZ', 'MMR', 'NAM', 'PAK', 'PNG', 'PHL', 'RWA', 'SEN', 'SLE', 'ZAF', 'TJK', 'TZA', 'TGO', 'ZMB', 'ZWE'];1;['América', 'Oceania', 'Ásia', 'África'];1;BRA;América;América do Sul;1;1;Multi-national;;;
24;Mental health and challenges of transgender women: A qualitative study in Brazil and India;10.1080/26895269.2020.1761923;2020;de Jesus, JG and Belden, CM and Huynh, HV and Malta, M and LeGrand, S and Kaza, VGK and Whetten, K;INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH;"Brazil;discrimination;India;qualitative study;stigma;transgender women;violence;suicide;mental health;RISK-FACTORS;DISCRIMINATION;HIV/AIDS;VIOLENCE;SUICIDE;GAY;SEX;Mental Health";"BRA; IND";-22.880636;-43.1097753;América / Ásia;América do Sul / Ásia Meridional;['BRA', 'IND'];1;['América', 'Ásia'];1;BRA;América;América do Sul;16;3;Multi-national;;;
25;Prevention of violence against women and girls: A cost-effectiveness study across 6 low- and middle-income countries;10.1371/journal.pmed.1003827;2022;Giulia Ferrari, Sergio Torres-Rueda, Esnat Chirwa, Andrew Gibbs, Stacey Orangi, Edwine Barasa, Theresa Tawiah, Rebecca Kyerewaa Dwommoh Prah, Regis Hitimana, Emmanuelle Daviaud, Eleonah Kapapa, Kristin Dunkle, Lori Heise, Erin Stern, Sangeeta Chatterji, Benjamin Omondi, Deda Ogum Alangea, Rozina Karmaliani, Hussain Maqbool Ahmed Khuwaja, Rachel Jewkes, Charlotte Watts, Anna Vassall;plos one;"Cost-Benefit Analysis;Violence";"PAK; ZAF; ZMB";8.0300284;-1.0800271;Ásia / África;Ásia Meridional / África Meridional;['PAK', 'ZAF', 'ZMB'];1;['Ásia', 'África'];1;GHA;África;África Ocidental;7;5;Multi-national;;;
26;Regional Prevalence, Patterns and Correlates of Sexual Coercion Among Women in Sub-Saharan Africa: A Multi-Country Population-Based Study;10.1080/19317611.2018.1491924;2018;Yaya, S and Bishwajit, G;INTERNATIONAL JOURNAL OF SEXUAL HEALTH;"Sexual coercion;sexual debut;rape;sexual abuse;global health;gender;dominance;demographic and health Survey;VIOLENCE;Coercion;Africa South of the Sahara;Prevalence";"AGO; GAB; COM; ETH; KEN; MOZ; UGA; ZMB; NAM; ZWE; TCD; GMB; TGO";43.6832382;-79.3883655;África;África Meridional / África Central / África Oriental / África Ocidental;['AGO', 'GAB', 'COM', 'ETH', 'KEN', 'MOZ', 'UGA', 'ZMB', 'NAM', 'ZWE', 'TCD', 'GMB', 'TGO'];1;['África'];0;CAN;América;América do Norte;21;6;Multi-national;;;
27;Young‐age exposure to armed conflict and women's experiences of intimate partner violence;10.1111/jomf.12876;2023;Torrisi, O;J of Marriage and Family 2023.85:7-32;"armed conflict;intimate partner violence;life course;post-Soviet;GENDER-BASED VIOLENCE;DOMESTIC VIOLENCE;ALCOHOL-USE;PTSD SYMPTOMS;PREVALENCE;CHILDREN;CYCLE;VICTIMIZATION;MULTICOUNTRY;ATTITUDES;Violence";ARM;51.7577338;-1.2628837;Ásia;Ásia Ocidental;['ARM'];0;['Ásia'];0;GBR;Europa;Europa Ocidental;24;4;Cross-continental;Upper middle income;0.759;0.216
28;Intimate partner violence victimization among college students with disabilities_ Prevalence, help-seeking, and the relationship between adverse childhood experiences and intimate partner violence victimization;10.1016/j.childyouth.2019.104741;2020;Esther Son;Children and Youth Services Review, 110 (2020) 104741. doi:10.1016/j.childyouth.2019.104741;"College students with disabilities; Intimate partner violence victimization; Adverse childhood experiences; Help-seeking; ";"CAN; USA";45.8289969;5.4712795;América;América do Norte;['CAN', 'USA'];1;['América'];0;FRA;Europa;Europa Ocidental;10;3;Multi-national;;;
29;A Longitudinal Study of IPV Victimization Among Sexual Minority Youth;10.1177/0886260516646093;2019;Whitton, SW and Newcomb, ME and Messinger, AM and Byck, G and Mustanski, B;J Interpers Violence 2019.34:912-945;"domestic violence;LGBT;youth violence;INTIMATE PARTNER VIOLENCE;TEEN DATING VIOLENCE;SAME-SEX;MENTAL-HEALTH;SOCIAL SUPPORT;SUBSTANCE USE;BISEXUAL MEN;GAY MEN;PROTECTIVE FACTORS;DOMESTIC VIOLENCE;Longitudinal Studies;Adolescent";USA;36.1800656;-95.9923998;América;América do Norte;['USA'];0;['América'];0;USA;América;América do Norte;16;3;Domestic;High income;0.921;0.179
30;A Dyadic Examination of Alcohol Use and Intimate Partner Aggression Among Women in Same-Sex Relationships;10.1016/j.addbeh.2022.107262;2022;Ruschelle M. Leone, Sarah J. Ehlke, Alyssa Norris, Cassidy M. Sandoval, Lauren V. Butler, Barbara Winstead, Michelle Kelley, Robin J. Lewis;Addictive Behaviors;Intimate Partner Violence, Alcohol Use, Same-Sex Couples;USA;39.7837304;-100.445882;América;América do Norte;['USA'];0;['América'];0;USA;América;América do Norte;23;2;Domestic;High income;0.921;0.179
31;A Transdisciplinary Analysis of Domestic Violence Homicides in Harris County, Texas (2016-2020);10.1177/10887679231182331;2023;Lin, HF and Spearman, KJ and Ross, JL and Blackburn, E and Messing, JT and Campbell, JC and AbiNader, MA and Grimm, KJ;Homicide Studies 2023.27:472-492;"intimate partner violence;intimate partner violence-related homicide;familicide;the prevalence rate;INTIMATE PARTNER HOMICIDE;DEATH REPORTING SYSTEM;RISK;FILICIDE;VICTIMS;HEALTH;STATES;MODEL;Texas;Violence";USA;28.5421109;-81.3790304;América;América do Norte;['USA'];0;['América'];0;USA;América;América do Norte;20;7;Domestic;High income;0.921;0.179
32;College Sexual Assault and Campus Climate for Sexual- and Gender-Minority Undergraduate Students;10.1177/0886260517696870;2018;Robert W. S. Coulter, Susan R. Rankin;JOURNAL OF INTERPERSONAL VIOLENCE;sexual assault, campus climate, lesbian, gay, bisexual, transgender, undergraduate students;USA;40.4467787;-79.9620709;América;América do Norte;['USA'];0;['América'];0;USA;América;América do Norte;16;3;Domestic;High income;0.921;0.179
33;College Students’ Beliefs About Domestic Violence: A Replication and Extension;10.1177/0886260517747606;2021;Wagers, SM and Wareham, J and Boots, DP;J Interpers Violence 2021.36:NP1482-1511NP;"perceptions of domestic violence;domestic violence;dating violence;legal intervention;INTIMATE PARTNER VIOLENCE;PUBLIC-OPINION SURVEY;ATTITUDES;ABUSE;PERCEPTIONS;DEFINITIONS;WOMEN;Violence";USA;37.1370242;-80.5499612;América;América do Norte;['USA'];0;['América'];0;USA;América;América do Norte;4;1;Domestic;High income;0.921;0.179
34;Changes in Gender Inequality and Intimate Partner Violence From 1958-2003: A Birth Cohort Analysis;10.1177/1077801219884120;2021;Metheny, N and Stephenson, R;Violence Against Women 2021.27:124-142;"birth cohort analysis;gender inequality;intimate partner violence;PHYSICAL HEALTH CONSEQUENCES;DOMESTIC VIOLENCE;UNITED-STATES;SUBSTANCE USE;WOMEN;IMPACT;POLICY;RISK;AGE;PREVALENCE;Cohort Studies;Socioeconomic Factors;Violence";USA;42.3128147;-83.3744151;América;América do Norte;['USA'];0;['América'];0;USA;América;América do Norte;21;6;Domestic;High income;0.921;0.179
