article_id,title,doi,year,authors,journal,keywords,study_country,study_continent,study_subregion,is_multi_country,is_multi_continent,researcher_country,researcher_continent,researcher_subregion,latitude,longitude,research_flow,topic_id,megatopic_id,income_group,hdi,gender_inequality_index,population_total,gdp_per_capita,gini_index,women_parliament,female_labor_force,female_homicide_rate,maternal_mortality,gini_index_source,gini_index_obs_year,women_parliament_source,women_parliament_obs_year,female_labor_force_source,female_labor_force_obs_year,female_homicide_rate_source,female_homicide_rate_obs_year
107,Determinants of Gender-based Violence Against Women in Spain: An Asymmetric Bayesian Model,10.1177/0886260520967749,2020,"José María Pérez-Sánchez, Nancy Dávila-Cárdenes, and Emilio Gómez-Déniz",J Interpers Violence 0.0:0886260520967749,"gender-based violence against women,asymmetric logit regression,Bayesian estimation,intimate partner",ESP,Europe,Southern Europe,0,0,ESP,Europe,Southern Europe,41.4288133,2.193041,Domestic,1,1,High income,0.905,0.065,47679482,27233.94265,34.9,44,50.922,0.4904739551,4,NA,NA,IPU,2020,WDI,2020,WDI,2020
108,Evolution and Analysis of Cultural and Cognitive Factors Related With Domestic Violence Against Women,10.1177/0886260516645570,2016,"Alves MJV, Manita C, Caldas IM, Fernández-Martinez E, Gomes da Silva A, Magalhães T.",Journal of Interpersonal Violence,Domestic violence;Cohabitation;Feeling;Psychology;Shame;Poison control;Social psychology;Perception;Intimate partner;Suicide prevention;Clinical psychology,PRT,Europe,Southern Europe,0,0,PRT,Europe,Southern Europe,38.5710395,-7.9072189,Domestic,4,1,High income,0.866,0.067,10346377,19980.2808866516,32.4,34.78,53.484,0.3535373977,12,SWIID,2016,IPU,2016,ILOSTAT,2016,OWID,2016
109,Gender Differences in Intimate Partner Violence: Risk Factors and Associations With Suicide,10.1037/tra0001457,2024,"Joksimovic, N and Vallieres, F and Hyland, P",PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,intimate partner violence;abuse;prevalence;risk factors;suicidality;SOCIAL SUPPORT;PATTERNS;ABUSE;PREVALENCE;NUMBER;WOMEN;Suicide;Risk Factors,IRL,Europe,Western Europe,0,0,IRL,Europe,Western Europe,53.3820615,-6.5988074,Domestic,1,1,High income,0.945,0.074,5196629,112894.953240805,28,23.12,59.838,0.4233513687,4,SWIID,2023,IPU,2024,ILOSTAT,2024,OWID,2023
110,"Enduring impact of conflict on mental health and gender-based violence perpetration in Bougainville, Papua New Guinea: A cross-sectional study",10.1371/journal.pone.0186062,2017,"Rachel Jewkes, Nwabisa Jama-Shai, Yandisa Sikweyiya",PLOS ONE,INTIMATE-PARTNER VIOLENCE;POSTTRAUMATIC-STRESS-DISORDER;TRAUMA;ASSOCIATION;EXPOSURE;EVENTS;Cross-Sectional Studies;Cesarean Section,PNG,Oceania,Melanesia,0,0,CAN,Americas,North America,46.4188742,-75.3799932,Cross-continental,24,4,Lower middle income,0.558,0.725,9178717,2477.76530986323,47.1,2.7,49.297,NA,207,SWIID,2009,IPU,2017,ILOSTAT,2017,NA,NA
111,Gender-Related Ideological and Structural Macrosocial Factors Associated With Intimate Partner Violence Against European Women,10.1177/0361684319839367,2019,"Zapata-Calvente, AL and Megias, JL and Moya, M and Schoebi, D",Psychology of Women Quarterly 2019.43:317-334,intimate partner violence against women;macrosocial factors;gender equality;multilevel analysis;SOCIOECONOMIC-STATUS;SEXUAL AGGRESSION;RISK-FACTORS;INEQUALITY;MEN;VICTIMIZATION;PERPETRATION;PREVALENCE;ALCOHOL;IMPACT;Interpersonal Relations;Violence,NPL,Asia,Southern Asia,0,0,USA,Americas,North America,32.8420226,-96.7937701,Cross-continental,23,2,Lower middle income,0.602,0.452,28414066,1203.14294706401,35.3,32.73,27.537,NA,170,SWIID,2019,IPU,2019,ILOSTAT,2019,NA,NA
112,"Experiences of intimate partner violence_ The role of psychological, economic, physical and sexual violence",10.1016/j.wsif.2020.102370,2020,Jessica Leigh Doyle,"Womens Studies International Forum, 80 (2020) 102370",DOMESTIC VIOLENCE;MENTAL-HEALTH;ABUSE;PREVALENCE;WOMEN;STRESS;IMPACT;LIVES;Sex Offenses;Violence,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,54.604374,-5.929176,Domestic,1,1,High income,0.929,0.098,66744000,40812.67947,32.6,33.84615385,58.277,0.5581025437,14,NA,NA,WDI,2020,WDI,2020,WDI,2020
113,"Gender inequality and violence against women in Spain, 2006-2014: towards a civilized society",10.1016/j.gaceta.2016.07.025,2016,Erika M. Redding,"Gaceta Sanitaria, Corrected proof",Intimate partner violence;Violence against women;Gender and health;Indexes;INTIMATE PARTNER VIOLENCE;SOCIAL DETERMINANTS;HEALTH;PREVALENCE;IMMIGRANT;Socioeconomic Factors;Spain,ESP,Europe,Southern Europe,0,0,USA,Americas,North America,25.7148148,-80.2769765,Cross-continental,1,1,High income,0.905,0.065,46732768,26755.60611,35.8,40,52.485,0.4758815142,3,NA,NA,IPU,2016,WDI,2016,WDI,2016
114,Intimate partner violence experienced by women living with—and without—disability in the European Union. A quantitative intersectional analysis,10.3389/fsoc.2022.948811,2022,Pilar Rodriguez Martinez,Frontiers in Sociology,"intersectionality, intimate partner or ex-partner physical violence, women living with disabilities, European Union, quantitative analysis",DEU; BEL; BGR; HRV; DNK; SVK; SVN; ESP; GRC; ITA; LVA; LTU; LUX; MLT; POL; GBR,Europe,Western Europe / Eastern Europe / Northern Europe / Southern Europe,1,0,ESP,Europe,Southern Europe,36.8414197,-2.4628135,Multi-national,10,3,High income; High income; Upper middle income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income,0.942; 0.937; 0.795; 0.858; 0.948; 0.848; 0.918; 0.905; 0.887; 0.895; 0.863; 0.875; 0.93; 0.918; 0.876; 0.929,0.073; 0.043; 0.192; 0.114; 0.013; 0.174; 0.056; 0.065; 0.119; 0.059; 0.164; 0.095; 0.055; 0.167; 0.115; 0.098,83177813.0; 11680210.0; 6465097.0; 3855641.0; 5903037.0; 5431752.0; NA; NA; 10436882.0; NA; 1879383.0; 2831639.0; 653103.0; 531113.0; 36821749.0; 67604000.0,50506.5179638543; 50605.7496677086; 13999.1949530956; 18465.5414420364; 67781.0940939514; 21317.7943982363; NA; 30319.4987196616; 20886.5243087629; NA; 20221.103686109; 25085.784063499; 123719.658915996; 35638.8869457406; 18891.2121169279; 47057.043229179,32.4; 26.4; 38.2; 30.0; 28.8; 24.1; 23.8; 33.6; 33.4; 32.9; 33.7; 36.6; 34.1; 34.6; 28.9; 32.4,34.9184782608696; 42.6666666666667; 24.1666666666667; 31.7880794701987; 43.5754189944134; 21.3333333333333; 28.89; 42.98; 21.0; 36.25; 30.0; 28.3687943262411; 33.3333333333333; 27.8481012658228; 28.2608695652174; 34.5679012345679,55.538; 50.029; 50.802; 46.975; 59.551; 55.692; 53.875; 52.281; 44.413; 40.517; 55.299; 58.035; 56.998; 55.307; 51.594; 57.703,0.81973675246394; 0.18754304965458; 0.823534807337581; 0.691759074149655; 0.775177861189912; 0.607028280554902; NA; 0.4970680686451; 0.838057962695992; NA; 3.95849909548296; 1.94536280848675; 1.54119063141039; 1.18109538723197; 0.460020537642179; 0.695361106405058,4.0; 11.0; 10.0; 6.0; 6.0; 5.0; NA; 4.0; 10.0; NA; 29.0; 9.0; 6.0; 10.0; 2.0; 15.0,NA; NA; NA; NA; SWIID; NA; SWIID; NA; NA; SWIID; NA; NA; NA; NA; NA; NA,NA; NA; NA; NA; 2022; NA; 2022; NA; NA; 2022; NA; NA; NA; NA; NA; NA,WDI; WDI; WDI; WDI; WDI; WDI; IPU; IPU; WDI; IPU; WDI; WDI; WDI; WDI; WDI; WDI,2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022,WDI; WDI; WDI; WDI; WDI; WDI; ILOSTAT; WDI; WDI; ILOSTAT; WDI; WDI; WDI; WDI; WDI; WDI,2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022; 2022,WDI; WDI; WDI; WDI; WDI; WDI; NA; WDI; WDI; NA; WDI; WDI; WDI; WDI; WDI; WDI,2022; 2021; 2022; 2022; 2022; 2022; NA; 2022; 2022; NA; 2022; 2022; 2022; 2022; 2022; 2021
115,Intimate partner violence against women in Spain: A medico-legal and criminological study,10.1016/j.jflm.2015.05.012,2015,Antía Regueira-Diéguez,"Journal of Forensic and Legal Medicine, Accepted manuscript",Intimate partner violence;Women;Abuse;Injury;Forensic medicine;Criminology;DOMESTIC VIOLENCE;RISK-FACTORS;PHYSICAL INJURY;FACIAL INJURIES;ALCOHOL-USE;PREVALENCE;HEALTH;ABUSE;COMMUNITY;MARKERS;Spain;Violence,ESP,Europe,Southern Europe,0,0,ESP,Europe,Southern Europe,42.890507,-8.5439221,Domestic,9,6,High income,0.905,0.065,46683683,25982.44162,36.2,41.14,52.62,0.5104544445,4,NA,NA,IPU,2015,WDI,2015,WDI,2015
116,Gender roles and intimate partner violence among female university students in Spain: A cross-sectional study,10.1371/journal.pone.0259839,2021,"Andrea Llano-Suárez, Alberto Lana, Ángel Gasch-Gallén, Ana Fernández-Feito",plos one,Cross-Sectional Studies;Cesarean Section;Violence,ESP,Europe,Southern Europe,0,0,ESP,Europe,Southern Europe,39.3260685,-4.8379791,Domestic,15,2,High income,0.905,0.065,47735670,30799.47759,33.9,44,52.177,0.3992966205,4,NA,NA,IPU,2021,WDI,2021,WDI,2021
117,Intimate Partner Violence and Socioeconomic Deprivation in England  Findings From a National Cross-Sectional Survey,10.2105/ajph.2012.300723,2013,"Khalifeh, H and Hargreaves, J and Howard, LM and Birdthistle, I",AMERICAN JOURNAL OF PUBLIC HEALTH,DOMESTIC VIOLENCE;MULTILEVEL ANALYSIS;HISPANIC COUPLES;UNITED-STATES;MENTAL-HEALTH;WOMEN;AGGRESSION;WHITE;ABUSE;BLACK;England;Cross-Sectional Studies;Cesarean Section,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,51.524203,-0.1330007,Domestic,1,1,High income,0.929,0.098,64139000,43606.98379,32.7,22.46153846,56.256,1.031513153,9,NA,NA,WDI,2013,WDI,2013,WDI,2013
118,Health Services for Gender-Based Violence: Médecins Sans Frontières Experience Caring for Survivors in Urban Papua New Guinea,10.1371/journal.pone.0156813,2016,"Kamalini Lokuge, Meggy Verputten, Maryanne Ajakali, Bianca Tolboom, Grace Joshy, Katherine A. Thurber, Daisy Plana, Steven Howes, Anastasia Wakon, Emily Banks",PLOS ONE,INTIMATE PARTNER VIOLENCE;PREVALENCE;MULTICOUNTRY;WOMEN;PERPETRATION;PACIFIC;RISK;ASIA;MEN;Health Services;Health Services Needs and Demand;Survivors,PNG,Oceania,Melanesia,0,0,GBR,Europe,Western Europe,51.5081402,-0.2732607,Cross-continental,25,4,Lower middle income,0.558,0.725,8961717,2316.39479758492,47.1,2.7,49.008,NA,214,SWIID,2009,IPU,2016,ILOSTAT,2016,NA,NA
119,"Intimate partner violence in female-headed one-parent households_ Generating data on prevalence, consequences and support",10.1016/j.wsif.2018.12.007,2019,Núria Vergés Bosch,"Womens Studies International Forum, 72 (2019) 95-102","Intimate partner violence, gender violence; Female-headed households; One-parent households; Female-headed one-parent households; ",ESP,Europe,Southern Europe,0,0,USA,Americas,North America,37.2231839,-121.9813221,Cross-continental,29,2,High income,0.905,0.065,47435121,29786.52457,34.3,41.14,52.039,0.5220520482,3,NA,NA,IPU,2019,WDI,2019,WDI,2019
120,Intimate partner violence victimisation in early adulthood: psychometric properties of a new measure and gender differences in the Avon Longitudinal Study of Parents and Children,10.1136/bmjopen-2018-025621,2019,"Yakubovich AR, Heron J, Feder G, Fraser A, Humphreys DK.",BMJ Open,Psychometrics;Only Child;Longitudinal Studies;Child;Violence,GBR,Europe,Western Europe,0,0,USA,Americas,North America,33.6505419,-117.8270531,Cross-continental,1,1,High income,0.929,0.098,66631000,43158.74113,32.8,32,58.037,0.6858554363,9,NA,NA,WDI,2019,WDI,2019,WDI,2019
121,Long-term Exposure to Neighborhood Deprivation and Intimate Partner Violence Among Women: A UK Birth Cohort Study,10.1097/ede.0000000000001144,2020,"Yakubovich AR, Heron J, Feder G, Fraser A, Humphreys DK.",Epidemiology,Cohort Studies,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,51.534081,-0.4879761,Domestic,27,6,High income,0.929,0.098,66744000,40812.67947,32.6,33.84615385,58.277,0.5581025437,14,NA,NA,WDI,2020,WDI,2020,WDI,2020
122,"Lifetime prevalence, associated factors, and circumstances of non-volitional sex in women and men in Britain: findings from the third National Survey of Sexual Attitudes and Lifestyles (Natsal-3)",10.1016/s0140-6736(13)62300-4,2013,Wendy Macdowall MSc,"The Lancet, 382 (2013) 1845-1855",INTIMATE PARTNER VIOLENCE;TRANSMITTED INFECTIONS;DOMESTIC VIOLENCE;HEALTH;RISK;BEHAVIOR;RAPE;MULTICOUNTRY;ASSAULT;Life Style;Volition;Prevalence,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,51.5255901,-0.1262141,Domestic,22,7,High income,0.929,0.098,64139000,43606.98379,32.7,22.46153846,56.256,1.031513153,9,NA,NA,WDI,2013,WDI,2013,WDI,2013
123,Psychosocial work factors and long sickness absence in Europe,10.1179/2049396713y.0000000048,2014,"Slany C, Schütte S, Chastang JF, Parent-Thirion A, Vermeylen G, Niedhammer I.",International Journal of Occupational and Environmental Health,Europe,NOR; TUR; ALB; BEL; CYP; HRV; DNK; SVN; GRC; HUN; ITA; LVA; MLT; NLD; POL; PRT,Europe / Asia,Northern Europe / Western Asia / Eastern Europe / Western Europe / Southern Europe,1,1,JPN,Asia,Eastern Asia,34.9744506,136.1453599,Multi-national,6,6,High income; Upper middle income; Upper middle income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income; High income,0.961; 0.838; 0.796; 0.937; 0.896; 0.858; 0.948; 0.918; 0.887; 0.846; 0.895; 0.863; 0.918; 0.941; 0.876; 0.866,0.016; 0.272; 0.144; 0.043; 0.123; 0.114; 0.013; 0.056; 0.119; 0.232; 0.059; 0.164; 0.167; 0.025; 0.115; 0.067,NA; NA; 2773767.0; 11209057.0; 1201801.0; 4201598.0; 5643475.0; NA; 10892413.0; 9833038.0; NA; 1993782.0; 433481.0; NA; 38011735.0; NA,NA; NA; 4793.59751131525; 47995.7786961339; 26993.103515625; 14186.7295493276; 62520.4509747011; NA; 21474.7257123892; 14352.501883174; NA; 15185.814581236; 27424.5765646694; NA; 14262.2841914116; NA,25.4; 38.9; 34.6; 28.1; 30.5; 32.1; 26.5; 25.1; 35.8; 30.9; 33.2; 35.1; 29.0; 26.9; 32.8; 33.0,39.65; 14.42; 20.0; 39.3333333333333; 12.5; 23.841059602649; 39.1061452513966; 33.33; 21.0; 10.0502512562814; 31.43; 18.0; 14.2857142857143; 38.67; 24.3478260869565; 31.3,63.176; 30.171; 43.958; 48.125; 58.944; 46.252; 57.097; 52.531; 43.517; 48.884; 39.746; 53.301; 42.259; 60.271; 49.534; 53.777,NA; NA; 0.818061711848669; 1.42181572654218; 0.841064821706874; 0.777036824917834; 1.09075696070073; NA; 0.480462696253441; 1.29713550855214; NA; 3.38637978209572; 0.460870907754383; NA; 0.467730468537445; NA,NA; NA; 10.0; 5.0; 11.0; 4.0; 5.0; NA; 4.0; 13.0; NA; 22.0; 8.0; NA; 2.0; NA,SWIID; SWIID; NA; NA; SWIID; NA; SWIID; SWIID; NA; NA; SWIID; NA; NA; SWIID; NA; SWIID,2014; 2014; NA; NA; 2014; NA; 2014; 2014; NA; NA; 2014; NA; NA; 2014; NA; 2014,IPU; IPU; WDI; WDI; WDI; WDI; WDI; IPU; WDI; WDI; IPU; WDI; WDI; IPU; WDI; IPU,2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014,ILOSTAT; ILOSTAT; WDI; WDI; WDI; WDI; WDI; ILOSTAT; WDI; WDI; ILOSTAT; WDI; WDI; ILOSTAT; WDI; ILOSTAT,2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014; 2014,NA; NA; WDI; WDI; WDI; WDI; WDI; NA; WDI; WDI; NA; WDI; WDI; NA; WDI; NA,NA; NA; 2014; 2014; 2014; 2014; 2014; NA; 2014; 2014; NA; 2014; 2014; NA; 2014; NA
124,Professionals’ Views on the Comparatively Low Prevalence of Intimate Partner Violence Against Women in Spain,10.1177/10778012211021106,2021,"Arabella Castro, Marisol Lila, Enrique Gracia, and Maria Wemrell",Violence Against Women 0.0:10778012211021106,"intimate partner violence against women,qualitative study,law and policies,social awareness,cultural patterns",ESP,Europe,Southern Europe,0,0,USA,Americas,North America,47.2338231,-122.5498135,Cross-continental,1,1,High income,0.905,0.065,47735670,30799.47759,33.9,44,52.177,0.3992966205,4,NA,NA,IPU,2021,WDI,2021,WDI,2021
125,"Minority Identity, Othering-Based Stress, and Sexual Violence",10.3390/ijerph19074221,2022,"Lotte De Schrijver, Elizaveta Fomenko, Barbara Krahé, Kristien Roelens, Tom Vander Beken and Ines Keygnaert",International Journal of Environmental Research and Public Health,sexual orientation; poverty; minority health; sexual and gender-based violence; rape,BEL,Europe,Western Europe,0,0,BEL,Europe,Western Europe,51.0078485,3.7108831,Domestic,16,3,High income,0.937,0.043,11680210,50605.74967,26.4,42.66666667,50.029,0.1875430497,11,NA,NA,WDI,2022,WDI,2022,WDI,2021
126,"Putting salt on the wound': a qualitative study of the impact of FGM-safeguarding in healthcare settings on people with a British Somali heritage living in Bristol, UK",10.1136/bmjopen-2019-035039,2020,"Karlsen S, Carver N, Mogilnicka M, Pantazis C.",BMJ Open,Safeguarding;Somali;Medicine;Snowball sampling;Nursing;Health care;Focus group;Qualitative research;Family medicine,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,54.7023545,-3.2765753,Domestic,7,5,High income,0.929,0.098,66744000,40812.67947,32.6,33.84615385,58.277,0.5581025437,14,NA,NA,WDI,2020,WDI,2020,WDI,2020
127,"Self-reported access to health care, communicable diseases, violence and perception of legal status among online transgender identifying sex workers in the UK",10.1016/j.puhe.2020.05.066,2020,S. Steele,"Public Health, 186 (2020) 12-16",Health Services Accessibility;Communicable Diseases,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,54.7023545,-3.2765753,Domestic,3,3,High income,0.929,0.098,66744000,40812.67947,32.6,33.84615385,58.277,0.5581025437,14,NA,NA,WDI,2020,WDI,2020,WDI,2020
128,Recent intimate partner violence among people with chronic mental illness  findings from a national cross-sectional survey,10.1192/bjp.bp.114.144899,2015,"Khalifeh H, Oram S, Trevillion K, Johnson S, Howard LM.",The British Journal of Psychiatry,Cross-Sectional Studies;Cesarean Section,GBR,Europe,Western Europe,0,0,BRA,Americas,South America,-23.3430685,-51.1465605,Cross-continental,31,5,High income,0.929,0.098,65088000,45255.34492,33.3,29.38461538,56.722,1.167536804,9,NA,NA,WDI,2015,WDI,2015,WDI,2015
129,Maternity care for trafficked women: Survivor experiences and clinicians’ perspectives in the United Kingdom’s National Health Service,10.1371/journal.pone.0187856,2017,"Debra Bick, Louise M. Howard, Sian Oram, Cathy Zimmerman",PLOS ONE,ACCESS;Great Britain;Survivors;National Health Programs,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,51.4990645,-0.1186968,Domestic,7,5,High income,0.929,0.098,65966000,40916.81151,32.6,32,57.273,1.424636647,9,NA,NA,WDI,2017,WDI,2017,WDI,2017
130,Please Tell! Barriers to Disclosing Sexual Victimization and Subsequent Social Support Perceived by Children and Adolescents,10.1177/0886260514555371,2014,"Munzer, A and Fegert, JM and Ganser, HG and Loos, S and Witt, A and Goldbeck, L",JOURNAL OF INTERPERSONAL VIOLENCE,sexual victimization;disclosure;social support;children;adolescents;TRAUMATIC EVENTS SCALE;NATIONAL SAMPLE;ABUSE;CHILDHOOD;EXPERIENCES;PREVALENCE;IMPACT;VALIDITY;WOMEN;Adolescent;Only Child;Child;Social Support,DEU,Europe,Western Europe,0,0,DEU,Europe,Western Europe,48.4302441,10.0142106,Domestic,29,2,High income,0.942,0.073,80982500,48959.59912,30.8,36.45007924,54.468,0.8178280829,5,NA,NA,WDI,2014,WDI,2014,WDI,2014
131,Sexual and gender-based violence in the European asylum and reception sector  a perpetuum mobile,10.1093/eurpub/cku066,2015,"Keygnaert, I and Dias, SF and Degomme, O and Deville, W and Kennedy, P and Kovats, A and De Meyer, S and Vettenburg, N and Roelens, K and Temmerman, M",EUROPEAN JOURNAL OF PUBLIC HEALTH,LINKING CHILDHOOD;ABUSE;RISK;VICTIMIZATION;CONSEQUENCES;PREVALENCE;SURVIVORS;WOMEN;Buserelin;Violence,BEL; ESP; GRC; HUN; IRL; PRT,Europe,Western Europe / Southern Europe / Eastern Europe,1,0,BEL,Europe,Western Europe,51.0078485,3.7108831,Multi-national,17,4,High income; High income; High income; High income; High income; High income,0.937; 0.905; 0.887; 0.846; 0.945; 0.866,0.043; 0.065; 0.119; 0.232; 0.074; 0.067,11274196.0; NA; 10820883.0; 9797755.0; NA; NA,40893.804537772; 25982.4416197775; 17980.7298238137; 12782.9412577973; NA; NA,27.7; 36.2; 36.0; 30.4; 29.9; 32.7,39.3333333333333; 41.14; 19.6666666666667; 10.1010101010101; 16.27; 31.3,48.045; 52.62; 44.028; 49.901; 54.809; 53.7,1.83307511706149; 0.510454444514193; 0.536316540457977; 1.98094928837795; NA; NA,5.0; 4.0; 5.0; 13.0; NA; NA,NA; NA; NA; NA; SWIID; SWIID,NA; NA; NA; NA; 2015; 2015,WDI; IPU; WDI; WDI; IPU; IPU,2015; 2015; 2015; 2015; 2015; 2015,WDI; WDI; WDI; WDI; ILOSTAT; ILOSTAT,2015; 2015; 2015; 2015; 2015; 2015,WDI; WDI; WDI; WDI; NA; NA,2015; 2015; 2015; 2015; NA; NA
132,Risk of Subjection to Violence and Perpetration of Violence in Persons With Psychiatric Disorders in Sweden,10.1001/jamapsychiatry.2019.4275,2019,American Medical Association,JAMA Psychiatry,The JAMA Network,SWE,Europe,Northern Europe,0,0,SWE,Europe,Northern Europe,59.6396002,17.9325973,Domestic,31,5,High income,0.947,0.023,10279120,51648.9892820514,28.4,47.28,61.315,0.4864229623,4,SWIID,2019,IPU,2019,ILOSTAT,2019,OWID,2019
133,Sexual violence victimisation among university students in Italy: a gendered intersectional quantitative approach,10.1186/s41118-020-00101-7,2020,Livia Elisa Ortensi,Genus,"Sexual violence,Gender-based violence,University students,Sexual minorities,Italy",ITA,Europe,Southern Europe,0,0,ITA,Europe,Southern Europe,44.4982886,11.354457,Domestic,16,3,High income,0.895,0.059,59912763,32091.4866621366,33.2,35.71,39.501,0.3872296793,8,SWIID,2020,IPU,2020,ILOSTAT,2020,OWID,2020
134,The Prevalence and Nature of Violence Against Women Experiencing Homelessness: A Quantitative Study,10.1177/10778012211022780,2021,"Fran Calvo, Beth Watts, Sonia Panadero, Cristina Giralt, Mercè Rived-Ocaña, and Xavier Carbonell",Violence Against Women 0.0:10778012211022780,"homeless person,women,homelessness,victimization,gender-based violence",ESP,Europe,Southern Europe,0,0,ESP,Europe,Southern Europe,41.9854402,2.8267788,Domestic,31,5,High income,0.905,0.065,47735670,30799.47759,33.9,44,52.177,0.3992966205,4,NA,NA,IPU,2021,WDI,2021,WDI,2021
135,South Asian Immigrant Men and Women and Conceptions of Partner Violence,10.1007/s10903-015-0301-2,2015,F. Ahmad,Journal of Immigrant and Minority Health,Intimate partner violence; Concept mapping; Ethnicity; South Asian; Immigrants,IND; LKA,Asia,Southern Asia,1,0,BRA,Americas,South America,-15.2603822,-40.2649782,Multi-national,17,4,Lower middle income; Lower middle income,0.633; 0.782,0.49; 0.383,1328024494.0; 21729975.0,NA,47.9; 48.1,11.97; 5.78,26.582; 35.33,2.5736; 1.0216,NA,SWIID; SWIID,2015; 2015,IPU; IPU,2015; 2015,ILOSTAT; ILOSTAT,2015; 2015,OWID; OWID,2015; 2015
136,The role of moral neutralization of aggression and justification of violence against women in predicting physical teen dating violence perpetration and monitoring among adolescents in Switzerland,10.1002/cad.20430,2025,"Schuster, I and Tomaszewska, P and Gul, P and Ribeaud, D and Eisner, M",New Drctns Chld & Adlscnt 2021.2021:115-131,adolescents;justification of violence against women;monitoring;moral neutralization of aggression;physical teen dating violence;Switzerland;INTIMATE PARTNER VIOLENCE;PROTECTIVE FACTORS;SAFE DATES;ABUSE;PREVENTION;RISK;VICTIMIZATION;DISENGAGEMENT;PREVALENCE;PROGRAM;Adolescent;Aggression,CHE,Europe,Western Europe,0,0,DEU,Europe,Western Europe,52.4519335,13.292169,Intra-continental,23,2,High income,0.962,0.018,9005582,103998.1867,33.8,38.5,62.223,0.6218365454,5,NA,NA,WDI,2024,ILOSTAT,2025,OWID,2023
137,The prevalence and patterns of exposure to interpersonal violence among men and women in Estonia,10.1371/journal.pone.0237562,2020,"Hedda Lippus, Kadri Soo, Made Laanpere, Kathryn M. Yount, Kai Part, Inge Ringmets, Mare Ainsaar, Helle Karro",PLOS ONE,INTIMATE PARTNER VIOLENCE;NORVOLD ABUSE QUESTIONNAIRE;POLY-VICTIMIZATION;SEXUAL-ABUSE;HEALTH-CARE;POLYVICTIMIZATION;MALTREATMENT;VALIDATION;GENDER;NORAQ;Violence;Prevalence,EST,Europe,Northern Europe,0,0,CAN,Americas,North America,43.6672285,-79.4024532,Cross-continental,1,1,High income,0.89,0.101,1329522,23933.99394,30.7,28.71287129,57.133,1.42924828,6,NA,NA,WDI,2020,WDI,2020,WDI,2020
138,Study of human rights violations faced by women who use drugs in Estonia,10.1186/s12954-018-0259-1,2018,Arune Kontautaite,"Harm Reduction Journal, 2018","Women who use drugs,HIV,Human rights,Gender-based violence,Parental rights,Harm reduction,Gender-sensitive services,Drug policy,Estonia",EST,Europe,Northern Europe,0,0,IND,Asia,Southern Asia,19.4188727,81.4789976,Cross-continental,13,3,High income,0.89,0.101,1321977,23618.13613,30.3,26.73267327,57.281,0.7157663281,5,NA,NA,WDI,2018,WDI,2018,WDI,2018
139,The impact of sexual violence in mid-adolescence on mental health: a UK population-based longitudinal study,10.1101/2022.04.22.22274142,2022,Francesca Bentivegna MSc,"The Lancet Psychiatry, 9 (2022) 874-883",GENDER-DIFFERENCES;HARASSMENT;ASSAULT;DEPRESSION;ABUSE;PREVENTION;Sex Offenses;Adolescent;Longitudinal Studies;Violence,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,51.524203,-0.1330007,Domestic,31,5,High income,0.929,0.098,67604000,47057.04323,32.4,34.56790123,57.703,0.6953611064,15,NA,NA,WDI,2022,WDI,2022,WDI,2021
140,The ‘war’/‘not-war’ divide: Domestic violence in the Preventing Sexual Violence Initiative,10.1177/1369148118802470,2018,"Gray, H",The British Journal of Politics and International Relations 0.0:1369148118802470,"armed conflict,conflict-related SGBV,domestic violence,gender,preventing sexual violence initiative,private sphere,PSVI,public sphere,sexual and gender-based violence,war,women peace and security agenda",SWE,Europe,Northern Europe,0,0,USA,Americas,North America,42.9546753,-78.8200245,Cross-continental,24,4,High income,0.947,0.023,10175400,54018.4554391861,28.5,43.55,61.259,0.6486231499,5,SWIID,2018,IPU,2018,ILOSTAT,2018,OWID,2018
141,Sex Work and Mental Health: A Study of Women in the Netherlands,10.1007/s10508-016-0785-4,2016,Elizabeth J. Krumrei-Mancuso,Archives of Sexual Behavior,Prostitution; Depression; Post-traumatic stress; Mental health; Quality of life,NLD,Europe,Western Europe,0,0,NLD,Europe,Western Europe,50.9165838,6.0455867,Domestic,31,5,High income,0.941,0.025,17204693,46808.5291492503,27.3,37.33,60.816,0.3719915258,5,SWIID,2016,IPU,2016,ILOSTAT,2016,OWID,2016
